HAVE_CULTURAL_TRADITION_UNDER;Cultural Tradition under ;Tradition culturelle inférieure à ;Kulturtradition unter;;Tradición cultural bajo;;;;;;;;;x
HAVE_CULTURAL_TRADITION_OVER;Cultural Tradition of at least ;Tradition culturelle d’au moins ;Kulturtradition zumindest;;Tradición cultural de al  menos;;;;;;;;;x
DEFINE_HEIR_EFFECT_UNKNOWN;A new legal Heir appears.\n;Un nouvel héritier légitime fait son apparition.\n;Ein neuer legaler Nachfolger tritt auf.\n;;Un nuevo heredero legal aparece.\n;;;;;;;;;x
DYNASTY_IS;Ruling Dynasty is ';La dynastie régnante est ;Herrschende Dynastie ist ';;La dinastía reinante es ';;;;;;;;;x
DYNASTY_IS_NOT;Ruling Dynasty is not ';La dynastie régnante n’est pas ;Herrschende Dynastie ist nicht ';;La dinastía reinante no es ';;;;;;;;;x
ADD_HEIR_CLAIM;Claim Strength of Heir;Légitimité de l’héritier;Beansprucht Stärke des Nachfolgers;;Reclama con fuerza de heredero;;;;;;;;;x
EVTNAME9457;A Child in The Reeds;Un enfant dans les roseaux;Ein Kind im Schilf;;Un niño en los cañaverales;;;;;;;;;x
EVTDESC9457;Suddenly something startles the animal and, before you have time to fire, it is long gone. You look around you. The water in the small creek reflects the sunlight of a perfect day, and the reeds wave slowly before a light breeze. Is that laughter? You realise now what had startled the animal. In a cradle, floating among the reeds, lies a laughing little boy. Judging by his smile, you'd say that he has never known fear in his life.;Soudain, quelque chose effraie l’animal et, avant que vous ayez le temps de tirer, il est déjà parti. Vous regardez autour de vous. La journée est radieuse, les rayons du soleil se reflètent sur l’eau du petit ruisseau et les roseaux oscillent lentement sous la brise légère. Est-ce un éclat de rire ? Vous comprenez ce qui a fait fuir l’animal. Dans un berceau, flottant parmi les roseaux, vous découvrez un petit garçon rieur. À le voir ainsi, vous vous dites qu’il n’a jamais dû avoir peur de sa vie.;Plötzlich erschreckt etwas das Tier und bevor ihr schießen könnt ist es lange weg. Ihr seht euch um. Das Wasser desr kleinen Bucht reflektiert das Sonnenlicht eines perfekten Tages, und das Schilf schwankt langsam in einer leichten Brise. Ist das Gelächter? Ihr merkt nun, was das Tier erschreckt hat. In einem Korb, der zwischen dem Schilf schaukelt, liegt ein lachender kleiner Junge. Nach seinem Grinsen zu urteilen denkt ihr, dass er noch nie in seinem Leben Angst hatte.;;Algo asusta de pronto al animal, y antes de que tengas tiempo de disparar, ha huido. Miras alrededor. El agua en el riachuelo refleja la luz solar de un día perfecto, y los juncos se mueven suavemente con la brisa. ¿Eso son risas? Ahora entiendes qué ha asustado al animal. En una cesta, flotando entre los juncos, un bebé ríe. A juzgar por su sonrisa, se diría que no ha conocido el miedo en su vida.;;;;;;;;;x
EVTOPTA9457;Adopt him as your own.;Vous l’adoptez pour l’élever comme votre fils.;Adoptiert ihn.;;Adóptalo como tuyo.;;;;;;;;;x
EVTOPTB9457;Where did that deer go?;Où est passé ce cerf ?;Wohin ist das Reh verschwunden?;;¿Adónde ha ido ese ciervo?;;;;;;;;;x
EVTNAME9458;Jousting Tournament;Tournoi de joutes;Turnier;;Torneo de justa;;;;;;;;;x
EVTDESC9458;The proud banners of our nation flutter in the wind, and gilded trumpets blow four blast salutes, honoring our equestrian elites. The air is filled with the smells of roasted almonds, horses and intrigue. Our cultural and military prominence are truly boons to our nation, and nowhere is this fact more real than here today. How do you wish to spend your day at the tournament? ;Les fières bannières de notre nation flottent au vent tandis que les trompettes dorées sonnent pour honorer nos élites équestres. L’air est saturé d’odeurs d’amandes grillées, de chevaux et d’intrigues. Notre domination culturelle et militaire est une véritable aubaine pour notre nation, comme en témoigne le spectacle d’aujourd’hui. Comment voulez-vous passer votre journée au tournoi ? ;Das stolze Banner eurer Nation flattert im Wind und Hörner blasen Salut um eure Elite zu ehren. Die Luft wird vom Geruch von gerösteten Mandeln, Pferden und Spannung erfüllt. Unsere kulturelle und militärische Prominenz sind wahrlich Vorzüge unserer Nation, und nirgens sonst ist das so offensichtlich wie hier und heute. Wie wollt ihr den Tag beim Turnier verbringen?;;Las orgullosas banderas de nuestra nación ondean al viento, honrando a nuestra elite ecuestre. El aire huele a almendras tostadas, caballos e intriga. Nuestra preeminencia cultural y militar son de gran ayuda para nuestra nación, y en ninguna parte resulta más evidente que aquí y ahora. ¿Cómo deseas pasar el día en el torneo? ;;;;;;;;;x
EVTOPTA9458;Watch your heir joust.;En assistant à la joute de votre héritier.;Seht eurem Thronfolger zu;;Mira cómo justa tu heredero.;;;;;;;;;x
EVTOPTB9458;Brag about our cultural accomplishments.;En vous vantant de nos réalisations culturelles.;Erzählt von euren kulturellen Errungenschaften.;;Jáctate de nuestros logros culturales.;;;;;;;;;x
EVTOPTC9458;Simply enjoy the day.;En profitant de la journée, tout simplement.;Genießt den Tag.;;Simplemente disfruta del día.;;;;;;;;;x
EVTNAME9459;Hunting Accident;Accident de chasse;Jagdunfall;;Accidente de caza;;;;;;;;;x
EVTDESC9459;$HEIR_CAP_ADJ$ body has been draped, by whom you do not know, in a white cloth now stained red by $HEIR_ADJ$ lost vitae. They say $HEIR_S_PRONOUN$ was found by $HEIR_ADJ$ horse, in a clearing in the woods. You know the place they speak of. $HEIR_CAP_ADJ$ face is calm, almost serene. You reach out to touch $HEIR_O_PRONOUN$. The terrible reality of the situation dawns on you. The cold you feel is that of death.;Quelqu’un a enveloppé le corps $HEIR_CAP_ADJ$ dans un drap blanc désormais taché du sang. On vous explique que sa dépouille a été retrouvée près du cheval $HEIR_ADJ$ dans une clairière au milieu des bois. Vous connaissez cet endroit. Le visage $HEIR_CAP_ADJ$ est calme, presque serein. Vous tendez le bras pour $HEIR_O_PRONOUN$ toucher. Tout à coup, vous prenez conscience de la terrible réalité : le froid que vous sentez est celui de la mort.;$HEIR_CAP_ADJ$ Körper wurde von jemand in weißes Leinen gehüllt, das nun von $HEIR_ADJ$ Blut rot wird. Sie sagen dass $HEIR_S_PRONOUN$ neben $HEIR_ADJ$ Pferd auf einer Lichtung im Wald gefunden wurde. Ihr kennt den Ort, den sie meinen. $HEIR_CAP_ADJ$ Gesichtsausdruck ist fast friedlich. Ihr lehnt euch vor ihn zu berühren $HEIR_O_PRONOUN$. Die schreckliche Wirklichkeit der Situation wird euch klar. Die Kälfte, die ihr fühlt, ist die des Todes.;;El cuerpo de $HEIR_CAP_ADJ$ ha sido envuelto, no sabes por quién, con una tela blanca manchada por la sangre de $HEIR_ADJ$. Dicen que $HEIR_S_PRONOUN$ fue hallado por el caballo de $HEIR_ADJ$, en un claro del bosque. Conoces el sitio. Su $HEIR_CAP_ADJ$ faz está tranquila, casi serena. Tiendes la mano para tocar a $HEIR_O_PRONOUN$. Empiezas a comprender la terrible realidad de la situación. El frío que sientes es el de la muerte.;;;;;;;;;x
EVTOPTA9459;Sorrow overtakes you.;Le chagrin s’empare de vous.;Ihr werdet von Trauer übermannt.;;La pena te abruma.;;;;;;;;;x
EVTOPTB9459;Oh well...;Oh bien...;Naja…;;Vaya…;;;;;;;;;x
EVTNAME9460;Family Secret?;Secret de famille ?;Familiengeheimnis?;;¿Secreto familiar?;;;;;;;;;x
EVTDESC9460;The first time you brush it off, but when it happens a second and a third time, you do begin to wonder. Why are people laughing at you when they think you can't hear them? After you've asked around, for more than a bit, you finally manage to get an answer out of a chamber maid. It appears that your heir has been running about town in a most unchristian fashion, and that your family is now becoming the laughing stock of Europe.;La première fois, vous n’y prêtez pas attention, mais à deuxième, puis à la troisième fois, vous commencez à vous interroger. Pourquoi les gens se moquent-ils de vous en faisant comme si vous ne les entendiez pas ? Finalement, une femme de chambre consent à vous éclairer. Apparemment, votre héritier a traversé la ville d’une façon peu chrétienne et votre famille est désormais la risée de toute l’Europe.;Das erste Mal überseht ihr es einfach, aber als es ein zweites und drittes Mal passiert, werdet ihr stutzig. Warum lachen die Leute über euch wenn sie denken, dass ihr sie nicht hören könnt? Nachdem ihr euch erkundigt habt erfahrt ihr es endlich vom Hausmädchen. Es scheint, dass euer Nachfolger in der ganzen Stadt auf höchst unchristliche Art herumgelaufen ist. Nun winkt eurer Familie in ganz Europa Spott und Hohn.;;La primera vez le quitas importancia, pero cuando pasa una segunda y una tercera, empiezas a preguntarte. ¿Por qué se ríe la gente de ti cuando piensa que no la estás oyendo? Tras un buen rato haciendo preguntas, al final logras una respuesta de una criada. Al parecer, tu heredero ha estado yendo de un lado a otro de la ciudad de un modo nada cristiano, y tu familia se está convirtiendo en el hazmerreír de Europa.;;;;;;;;;x
EVTOPTA9460;Scold $HEIR_O_PRONOUN$ publicly.;Vous allez $HEIR_O_PRONOUN$ réprimander publiquement.;Bestraft $HEIR_O_PRONOUN$ öffentlich;;Reprende a $HEIR_O_PRONOUN$ públicamente.;;;;;;;;;x
EVTOPTB9460;...so?;... Et alors ?;…und?;;¿… Y qué?;;;;;;;;;x
settlement_policy;Settlement Policy;Politique de colonisation;Siedlungspolitik;;Política de asentamiento;;;;;;;;;x
desc_settlement_policy;The State supports a settlement policy vis-à-vis this province. Colonists of our own kind pour into the province, gradually changing the cultural and political landscape of it. Given time, this policy might make this province identify culturally with us, but the policy is anything but popular.;L’État soutient une politique de colonisation vis-à-vis de cette province. Les colons y affluent, changeant progressivement le paysage culturel et politique. Cette politique risque d’assimiler cette province à notre culture. Or, elle est impopulaire.;Der Staat unterstützt eine Siedlungspolitik in dieser Provinz. Kolonisten aus unserem Land kommen hierher, was nach und nach die kulturelle und politische Lanndschaft verändert.  Mit der Zeit wird das dazu führen, dass sich die Provinz kulturell mit uns identifiziert, aber sie ist alles andere als populär.;;El estado apoya una política de asentamiento en esta provincia. Nuestros colonos llegan a la provincia, cambiando gradualmente su contexto cultural y político. Con el tiempo, esta política podría hacer que dicha provincia se identifique culturalmente con nosotros, pero es no es una política nada popular.;;;;;;;;;x
enact_settlement_policy_title;Enact Settlement Policy;Application de la politique de colonisation;Siedlungspolitik einrichten;;Decreta política de asentamiento;;;;;;;;;x
enact_settlement_policy_desc;While unpopular both locally and abroad, an active settlement policy vis-à-vis this province will bring it into our cultural sphere within fifty years or so.;En dépit de son impopularité, une politique de colonisation active nous permettra d’englober cette province dans notre sphère culturelle d’ici une cinquantaine d’années.;Während die Siedlungspolitik in dieser Provinz sowohl lokal als auch woanders unpopulär ist, wird sie die Provinz in 50 Jahren oder so in unsere Kultursphäre bringen.;;Si bien impopular localmente y en el extranjero, una política de asentamiento activo en esta provincia la incluirá dentro de nuestra esfera cultural dentro de unos cincuenta años.;;;;;;;;;x
revoke_settlement_policy_title;Revoke Settlement Policy;Annulation de la politique de colonisation;Siedlungspolitik widerrufen;;Revoca política de asentamiento;;;;;;;;;x
revoke_settlement_policy_desc;Revoking the settlement policy in this province will be seen as a defeat conceded. Nevertheless, it might be a wise choice.;Toute annulation de la politique de colonisation relative à cette province sera perçue comme un aveu de défaite. Néanmoins, cela peut être un choix avisé.;Wenn wir die Siedlungspolitik in dieser Provinz widerrufen, gestehen wir uns eine Niederlage ein.  Es könnte dennoch eine weise Entscheidung sein.;;Revocar la política de asentamiento en esta provincia será visto como admitir la derrota. Sin embargo, quizá sea una sabia elección.;;;;;;;;;x
EVTNAME9461;Settlement Policy;Politique de colonisation;Siedlungspolitik;;Política de asentamiento;;;;;;;;;x
EVTDESC9461;The settlement policy we have enacted in this province seems to have been met with success. With the province safely within our cultural sphere, we can now end the policy.;La politique de colonisation que nous avons mise en œuvre dans cette province semble avoir porté ses fruits. Maintenant que celle-ci appartient à notre sphère culturelle, nous pouvons mettre un terme à cette politique.;Die Siedlungspolitik, die wir in dieser Provinz eingerichtet haben, war von Erfolg gekrönt. Sie ist nun in unserer Kultursphäre und wir können jetzt die Politik beenden.;;La política de asentamiento que hemos decretado en esta provincia parece haber tenido éxito. Con la provincia dentro de nuestra esfera cultural, podemos finalizar dicha política.;;;;;;;;;x
EVTOPTA9461;Excellent!;Excellent !;Sehr gut!;;¡Excelente!;;;;;;;;;x
DEFENDER_DESC;The Defender of the Faith gets called to war by our brothers in the faith against heretics and infidels. This will cost §Y$VALUE$§W¤. After §Y$MONTHS$§W months, countries with more prestige than the current Defender can claim the title.;Nos frères de foi appellent le défenseur de la foi à entrer en guerre contre les hérétiques et les infidèles. Cela coûtera §Y$VALUE$§W¤. Après §Y$MONTHS$§W mois, les pays dont le prestige sera supérieur à celui du défenseur actuel pourront revendiquer le titre.;Der Verteidiger des Glaubens wird von Glaubensbrüdern in Kriegen gegen Ungläubige und Heretiker zu Hilfe gerufen. Dies kostet §Y$VALUE$§W¤. Nach §Y$MONTHS$§W Monaten können Nationen mit höherem Prestige als der derzeite Verteidiger des Glaubens den Titel übernehmen.;;El Defensor de la Fe es llamado a la guerra por nuestros hermanos de fe contra herejes e infieles. Ello costará §Y$VALUE$§W¤. Tras §Y$MONTHS$§W meses, países con más prestigio que el actual Defensor pueden reclamar el título.;;;;;;;;;x
CW_WARNDOF;$COUNTRY$ is Defender of the $RELIGION$ Faith, and will protect them.;$COUNTRY$ est le défenseur de la foi $RELIGION$ et la protégera.;$COUNTRY$ ist Verteidiger des $RELIGION$ Glaubens, und wird ihn schützen.;;$COUNTRY$ es defensor de la Fe $RELIGION$, y los protegerá.;;;;;;;;;x
CW_WARNDOF2;$COUNTRY$ is Defender of the $RELIGION$ Faith, and will protect $ENEMY$.;$COUNTRY$ est le défenseur de la foi $RELIGION$ et protégera $ENEMY$.;$COUNTRY$ ist Verteidiger des $RELIGION$ Glaubens, und wird $ENEMY$ schützen.;;$COUNTRY$ es Defensor de la Fe $RELIGION$, y protegerá a $ENEMY$.;;;;;;;;;x
LAND_MAINTENANCE_MODIFIER;Land Maintenance Modifier;Modificateur d’entretien militaire;Armeeunterhaltmodifikator;;Modificador de mantenimiento terrestre;;;;;;;;;x
